period,respondent,respondent-name,fueltype,type-name,timezone,timezone-description,value,value-units
2022-10-27,NEVP,Nevada Power Company,SUN,Solar,Mountain,Mountain,16361,megawatthours
2022-10-27,IPCO,Idaho Power Company,SUN,Solar,Mountain,Mountain,1488,megawatthours
2022-10-27,WACM,Western Area Power Administration - Rocky Mountain Region,SUN,Solar,Mountain,Mountain,693,megawatthours
2022-10-27,EPE,El Paso Electric Company,SUN,Solar,Arizona,Arizona,764,megawatthours
2022-10-26,SEC,Seminole Electric Cooperative,SUN,Solar,Pacific,Pacific,9,megawatthours
2022-10-26,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Arizona,Arizona,14249,megawatthours
2022-10-27,NW,Northwest,SUN,Solar,Eastern,Eastern,34301,megawatthours
2022-10-27,TEN,Tennessee,SUN,Solar,Eastern,Eastern,4442,megawatthours
2022-10-26,TEC,Tampa Electric Company,SUN,Solar,Pacific,Pacific,0,megawatthours
2022-10-27,PSEI,"Puget Sound Energy, Inc.",SUN,Solar,Pacific,Pacific,35,megawatthours
2022-10-26,JEA,JEA,SUN,Solar,Arizona,Arizona,165,megawatthours
2022-10-26,TEN,Tennessee,SUN,Solar,Pacific,Pacific,2303,megawatthours
2022-10-27,PSEI,"Puget Sound Energy, Inc.",SUN,Solar,Eastern,Eastern,35,megawatthours
2022-10-26,PSCO,Public Service Company of Colorado,SUN,Solar,Arizona,Arizona,3954,megawatthours
2022-10-27,SRP,Salt River Project Agricultural Improvement and Power District,SUN,Solar,Arizona,Arizona,3229,megawatthours
2022-10-27,PNM,Public Service Company of New Mexico,SUN,Solar,Central,Central,2280,megawatthours
2022-10-26,SWPP,Southwest Power Pool,SUN,Solar,Pacific,Pacific,1213,megawatthours
2022-10-27,PACW,PacifiCorp West,SUN,Solar,Central,Central,2108,megawatthours
2022-10-26,MIDA,Mid-Atlantic,SUN,Solar,Central,Central,6242,megawatthours
2022-10-26,JEA,JEA,SUN,Solar,Mountain,Mountain,165,megawatthours
2022-10-26,DUK,Duke Energy Carolinas,SUN,Solar,Mountain,Mountain,2547,megawatthours
2022-10-27,CAL,California,SUN,Solar,Arizona,Arizona,106930,megawatthours
2022-10-26,FPL,Florida Power & Light Co.,SUN,Solar,Arizona,Arizona,22649,megawatthours
2022-10-27,PACE,PacifiCorp East,SUN,Solar,Central,Central,10540,megawatthours
2022-10-27,NW,Northwest,SUN,Solar,Mountain,Mountain,34303,megawatthours
2022-10-26,JEA,JEA,SUN,Solar,Pacific,Pacific,165,megawatthours
2022-10-26,SCEG,"Dominion Energy South Carolina, Inc.",SUN,Solar,Pacific,Pacific,4190,megawatthours
2022-10-27,SOCO,"Southern Company Services, Inc. - Trans",SUN,Solar,Eastern,Eastern,10149,megawatthours
2022-10-27,AVA,Avista Corporation,SUN,Solar,Central,Central,82,megawatthours
2022-10-27,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Central,Central,14755,megawatthours
2022-10-27,NEVP,Nevada Power Company,SUN,Solar,Pacific,Pacific,16371,megawatthours
2022-10-26,ISNE,ISO New England,SUN,Solar,Mountain,Mountain,695,megawatthours
2022-10-26,PSCO,Public Service Company of Colorado,SUN,Solar,Pacific,Pacific,3954,megawatthours
